UGC-11819,LSB,61.5,2.155,4.7,NA,4.8272
DDO-0168,LSB,4.5,0.032,1.2,0.03,0.06496
DDO-0170,LSB,16.6,0.023,1.9,0.09,0.04531
M-0033,HSB,0.9,0.85,2.5,0.11,1.1305
NGC-0055,LSB,1.9,0.588,1.9,0.13,0.294
NGC-0247,LSB,3.6,0.512,4.2,0.16,1.24416
NGC-0300,LSB,2,0.271,2.1,0.08,0.65311
NGC-0801,HSB,63,4.746,9.5,1.39,11.24802
NGC-1003,LSB,11.8,1.48,1.9,0.63,0.666
NGC-1560,LSB,3.7,0.053,1.6,0.12,0.16748
NGC-2683,HSB,10.2,1.882,2.4,0.15,6.0224
NGC-2998,HSB,59.3,5.186,4.8,1.78,9.0755
NGC-3109,LSB,1.5,0.064,1.3,0.06,0.0224
NGC-5033,HSB,15.3,3.058,7.5,1.07,10.03024
NGC-5371,HSB,35.3,7.593,4.4,0.89,10.93392
NGC-5533,HSB,42,3.173,7.4,1.39,13.13622
NGC-5585,HSB,9,0.333,2,0.28,0.36297
NGC-5907,HSB,16.5,5.4,5.5,1.9,10.206
NGC-6503,HSB,5.5,0.417,1.6,0.14,1.52622
NGC-6674,HSB,42,4.935,7.1,2.18,12.4362
UGC-2259,LSB,10,0.11,1.4,0.04,0.4653
UGC-2885,HSB,80.4,23.955,13.3,3.98,17.2476
Malin-1,LSB,338.5,7.912,84.2,5.4,10.44384
