R,VROT,VROT_ERROR
3.3723,102,11
5.05846,125,8.5
6.74461,145,6
8.43076,164,5
10.1263,162,6
11.8124,160,7
13.4986,156,6
15.4377,147,7.5
21.5921,158,7
26.6506,169,9
29.0205,169,9
31.4655,167,15
