R,VROT,VROT_ERROR
1.82583871,59,5
2.738758065,71,5
3.651677419,85,8
4.564596774,94,6.5
5.477516129,98,5
6.390435484,100,5
7.303354839,101,6.5
8.206130645,103,5
9.11905,105,5
10.03196935,110,6
10.94488871,111,5
