R,VROT_DATA,VROT_DATA_ERROR
.8726646813781787,33.1,3.9
1.3089971259066868,46.7,2.7
1.7453296950425425,53.9,4.7
2.181662430321601,58.8,2.5
2.617995373279782,65.6,2.6
3.054328565453084,70.8,2.7
3.490662048377601,82.1,4.9
3.9269958635895357,84.1,6.6
4.363330052625219,83.4,6.2
4.799664657021127,81.5,2.7
5.235999718313885,80.8,4
5.672335278040305,82.8,12.4
6.108671377737375,88.2,11.7
6.5450080589423,88.5,8.5
6.9813453631925,88.4,8.9
7.417683332025636,88.2,10.8
7.854022006979618,89.5,3.1
8.290361429592629,89.7,9.5
8.726701641403134,93.7,7.3
9.163042683949898,97,5.7
9.599384598772005,96.2,1.5
10.03572742740887,94.8,2.1
10.472071211400255,92.5,13.9
10.908415992286285,92.8,10.6
11.344761811607473,93.5,12.1
11.781108710904713,93.4,8
