R,VROT_DATA,VROT_DATA_ERROR
.37960911254967405,12.76,11.547
.5061454836493954,16.69,10.543
.6326818549632566,18.56,10.228
.7592182265447924,21.98,9.227
.8857545984475383,19.48,8.685
1.0122909707250292,24.69,7.28
1.1388273434307994,26.65,6.679
1.265363716618385,28.51,7.432
1.3919000903413201,25.99,9.491
1.5184364646531399,27.84,7.658
1.64497283960738,28.75,6.826
1.7715092152575738,30.7,6.533
1.8980455916572578,34.47,7.105
2.024581968859967,36.4,7.784
2.1511183469192354,38.28,6.596
2.2776547258885977,40.67,6.229
2.404191105821591,42.59,6.13
2.530727486771748,43.52,6.395
2.6572638687926053,44.62,5.267
2.783800251937697,46.01,5.838
2.9103366362605585,48.44,5.782
3.0368730218147246,50.79,5.614
3.1634094086537297,53.38,5.37
3.2899457968311103,54.85,5.65
3.4164821864004,56.72,6.105
3.543018577415134,60.18,6.081
3.669554969928848,63.2,6.727
3.7960913639950773,63.64,5.984
3.922627759667356,65.73,5.863
4.049164156999219,68.04,5.256
4.175700556044202,69.63,5.282
4.30223695685584,72.61,4.957
4.428773359487668,75.2,4.423
4.555309763993218,77.71,3.84
4.681846170426032,79.41,4.34
4.808382578839638,81,5.068
4.934918989287576,81.69,6.325
5.061455401823377,84.26,5.8
5.187991816500579,84.83,6.198
5.314528233372717,86.47,7.183
5.441064652493325,88.13,7.352
5.567601073915936,88.05,7.742
5.694137497694088,86.54,8.802
5.820673923881315,86.88,8.744
5.9472103525311555,87.56,8.635
6.073746783697138,87.85,9.196
6.200283217432802,89.23,8.698
6.326819653791682,90.03,8.474
6.453356092827312,89.89,8.579
6.579892534593229,91.13,8.38
6.7064289791429665,93.1,7.89
6.832965426530058,93.69,6.492
6.959501876808043,94.95,5.834
7.086038330030454,95.84,5.214
7.212574786250825,96.32,4.542
7.339111245522693,96.88,4.96
7.465647707899593,98.67,5.869
7.59218417343506,98.52,6.315
7.718720642182627,98.8,6.814
7.845257114195832,99.9,6.946
7.97179358952821,101.02,6.51
8.098330068233295,101.87,6.368
8.22486655036462,103.35,6.635
8.351403035975727,104.26,6.452
8.477939525120144,103.58,5.952
8.60447601785141,103.75,5.722
8.731012514223057,104.69,5.802
8.857549014288624,105.68,5.424
8.984085518101644,106.76,5.192
9.110622025715651,107.44,5.24
9.237158537184186,108.34,4.984
9.363695052560777,109.4,5.021
9.490231571898963,108.83,4.9
9.61676809525228,109.17,4.78
9.743304622674259,109.73,5.119
9.869841154218442,111.06,4.896
9.996377689938356,111.59,4.498
10.122914229887542,111.95,4.58
10.249450774119536,112.18,4.967
10.37598732268787,112.79,5.042
10.50252387564608,112.88,5.227
10.6290604330477,113.25,5.361
10.755596994946266,113.63,5.539
10.882133561395321,114.49,5.348
11.008670132448389,114.69,4.957
11.13520670815901,114.84,5.082
11.26174328858072,114.51,4.958
11.38827987376705,114.66,5.172
11.514816463771545,114.3,5.48
11.641353058647729,114.23,5.999
11.767889658449144,114.15,5.815
11.894426263229326,114.8,6.062
12.020962873041807,116.4,6.163
12.147499487940122,118.07,5.97
12.27403610797781,119.03,6.213
12.400572733208403,119.91,6.388
