R,VROT_DATA,VROT_DATA_ERROR
.867816489356049,30.6,10.6
1.2149430853269207,32.7,7.7
1.9091962780192937,42.6,5.3
2.2563228748713384,39.2,3.8
2.9505760699135077,69,1
3.2977026682341757,72.7,1.7
3.644829267174928,76.6,5.4
3.991955866801038,77.9,2.4
4.339082467177776,78.9,2.8
4.686209068370416,78.4,5.4
5.033335670444231,75.2,2.9
5.4672439243750866,80.8,3.8
5.987933831223654,85.4,2.8
6.5086237406055965,79.1,2.9
7.0293136527412035,88.8,4.7
7.550003567850774,102.4,4.5
8.070693486154598,106,3.3
8.59138340787297,95,4.2
9.11207333322618,102.1,3.9
9.632763262434525,101.7,3.7
10.153453195718297,111.7,3.7
