R,VROT_DATA,VROT_DATA_ERROR
.0939568913990943,30,5
.18791378279858614,78,10
.281870674198873,95,8
.3758275656003524,110,7
.46978445700342186,115,6
.5637413484084789,113,5
.657698239815921,120,5
.7516551312261456,125,3
.8456120226395505,125,3
.9395689140565328,130,3
1.0335258054774905,130,3
1.1274826969028204,131,3
1.2214395883329205,130,3
1.3153964797681887,131,3
1.4093533712090218,34.3,3.8
1.4093533712090218,133,3
1.5033102626558175,132,3
1.5972671541089736,128,3
1.6912240455688876,128,3
1.7851809370359564,130,3
1.8791378285105782,132,3
1.9730947199931497,133,3
2.06705161148407,132,3
2.1610085029837354,128,4
2.2549653944925425,128,4
2.3489222860108905,48.8,11.9
2.3489222860108905,130,5
2.4428791775391763,128,6
2.536836069077798,125,8
3.288491201806541,59.5,9.8
4.2280601189934846,61.8,13.9
5.1676290379692364,85.9,5.5
6.107197959131307,107.5,2.6
7.0467668828772085,120.2,6.4
7.986335809604455,111,2.2
9.865473673593032,144.9,4.1
10.805042611649386,123.4,5.5
12.684180501873792,115.8,3.2
14.56331841356388,133.2,8.4
