R,VROT,VROT_ERROR
0.718978689,42.2,5.3
2.156936067,89.8,6.6
3.594893446,110,7.7
5.104748695,128,10.4
6.470808206,130.4,5.2
7.908765587,132.5,9.3
9.34672297,141.7,10.2
12.22263774,145.3,7.1
