R,VROT,VROT_ERROR
1.410483871,121,15
1.77094086,123,15
2.828803763,116,12
4.239287634,140,10
5.657607527,160,8.5
7.068091398,162,7
8.125954301,170,7
8.48641129,154,7
9.896895161,153,10
