R,VROT,VROT_ERROR
0.955887097,27,6
1.911774194,45,3.5
2.86766129,57,6
3.823548387,69,3.5
4.779435484,77,5
5.735322581,81,5
6.691209677,84,3.5
7.647096774,85,3.5
8.602983871,86,5
