R,VROT_DATA,VROT_DATA_ERROR
1.28585,47,7.6
2.14308,59.5,4.5
2.99034,71.6,3.7
3.84757,77.6,3.1
4.7048,83.4,3.6
5.56203,89.7,3.8
6.41926,93.8,2.4
7.26652,99,3
8.12375,103,2.5
8.98098,100,2.3
9.83822,98.3,2
10.6655,98.4,1.7
11.5626,94.5,1.8
12.3601,94.9,2.4
13.2572,95.3,1.6
14.1543,96.9,1.8
14.9517,97.2,1.3
15.8488,100,1.8
16.6462,104,2.7
17.5433,104,3.2
18.3407,105,3.4
19.2378,109,3.9
20.1349,110,3.8
20.9324,107,3.8
21.8295,106,3.8
22.6269,106,4
23.524,108,3.4
24.4211,109,3.2
25.2185,110,3.3
26.1156,110,2.7
26.9131,110,2.4
27.8102,113,2.5
28.6076,114,2.2
29.5047,112,1.7
30.4018,113,1.8
31.1992,115,1.6
