R,VROT_DATA,VROT_DATA_ERROR
.15126186854883913,18.2,2.821
.30252373735366156,29.11,2.346
.45378560667045065,38,2.68
.6050474767551899,46.19,2.261
.7563093478638623,50.3,2.172
.9075712202524514,52.95,2.304
1.0588330941769406,55.28,2.099
1.2100949698933134,57.42,2.093
1.3613568476575526,59.77,1.904
1.5126187277256424,61.65,2.062
1.6638806103535662,63.17,2.212
1.8151424957973066,64.92,2.379
1.9664043843128476,66.63,4.614
2.117666276156172,67.73,5.001
2.2689281715832648,69.46,4.897
2.4201900708501083,72.15,4.772
2.571451974212686,74.37,4.782
2.7227138819269814,76.62,4.698
2.873975794248979,78.99,5.035
3.025237711434662,81.48,5.381
3.1764996337400144,84.67,5.858
3.327761561421019,87.62,6.263
3.4790234947336596,90.35,6.127
3.6302854339339214,92.93,5.528
3.7815473792777867,94.93,5.356
3.9328093310212404,96.82,5.431
4.084071289420264,98.94,5.402
4.235333254730846,101.06,5.516
4.386595227208966,103.39,5.724
4.53785720711061,105.64,5.722
4.689119194691761,107.61,5.735
4.840381190208406,109.46,5.808
4.991643193916526,110.55,5.67
5.142905206072107,111.69,5.572
5.2941672269311315,113.28,5.325
5.445429256749585,114.91,5.373
5.596691295783453,115.94,5.582
5.747953344288719,116.63,5.921
5.899215402521367,117.33,6.176
6.050477470737381,117.92,6.435
6.20173954919275,117.65,6.951
6.353001638143453,117.06,6.302
6.504263737845479,115.74,6.865
6.65552584855481,114.05,6.503
6.806787970527433,114.19,5.665
6.958050104019333,114.33,4.68
7.109312249286493,114.08,4.472
7.2605744065849,113.33,4.317
7.41183657617054,112.39,4.403
7.563098758299396,111.72,4.47
7.714360953227456,110.94,4.314
7.865623161210705,110.73,4.482
8.016885382505125,111.01,4.351
8.168147617366706,112.58,3.837
8.319409866051434,114.08,3.526
8.470672128815293,113.54,3.502
8.621934405914267,112.73,3.434
8.773196697604346,111.66,3.678
8.924459004141516,110.89,4.048
9.075721325781762,109.58,4.753
9.22698366278107,109.44,4.782
9.378246015395426,106.99,5.61
9.529508383880817,105.59,5.587
9.680770768493232,106.16,8.135
9.832033169488655,104.13,4.704
9.983295587123076,99.34,4.541
10.134558021652477,98.11,4.227
10.285820473332848,101.67,5.79
