R,VROT,VROT_ERROR
0.769354839,31,9
1.547258065,55,8
2.316612903,61,5
3.085967742,64,5
3.855322581,67,6.5
4.633225806,70,5
5.402580645,74,5
6.171935484,78,6.5
6.941290323,81,6.5
7.719193548,81,5
8.488548387,81,5
9.257903226,82,6.5
10.11274194,83,6.5
10.95903226,85,8
11.80532258,84,8
12.6516129,83,9.5
13.5833871,80,11
