R,VROT,VROT_ERROR
0.892216249,68,12
1.784432498,123,8.5
2.676648748,145,7
3.568864997,152,7.5
4.461081246,157,7
5.353297495,161,7.5
6.245513745,165,7
7.228603871,169,7
