R,VROT,VROT_ERROR
0.407972,10.4,3.1
2.03986,19.1,4.4
2.85581,24.3,3.1
3.67175,37.9,1.6
4.4877,41.2,5.3
5.30364,45.5,6.2
6.11958,48.3,5.3
6.93553,58.5,6.1
7.75147,73.4,10.7
8.56742,61.4,12.0
