R,VROT,VROT_ERROR
1.51262,88,16.5
3.01687,106,11.5
4.52949,116,8
6.0421,125,8
7.54636,126,5
9.05898,123,5
10.6468,118,6.5
12.5271,115,8
14.7919,122,14
27.4778,121,10
29.893,118,10
32.1577,113,11
