R,VROT_DATA,VROT_DATA_ERROR
7.106,207.435,2
7.128,219.101,0
7.128,211.401,0
7.146,200.88,2.0715
7.146,200.88,2.0715
7.153,208.818,2
7.19,205.359,0
7.19,208.559,0
7.2,206,2
7.205,201.436,1.8185
7.205,201.436,1.8185
7.219,207.553,1.2
7.229,208.777,2.1965
7.229,208.777,2.1965
7.25,206.162,0
7.25,206.462,0
7.266,202.635,1.6
7.308,203.009,0
7.308,207.009,0
7.322,205.994,1.5
7.341,201.847,1.5
7.36,200.6,1.5
7.364,208.201,0
7.364,206.801,0
7.393,205.94,3.724
7.393,205.94,3.724
7.4,212.588,5.0895
7.4,212.588,5.0895
7.417,200.637,0
7.417,206.637,0
7.435,205.412,4
7.469,203.116,0
7.469,205.016,0
7.473,205.318,1.5
7.511,209.224,3
7.518,202.039,0
7.518,197.939,0
7.558,204.906,1.2
7.56,267.8,0.96
7.564,200.904,0
7.564,205.904,0
7.567,205.282,1.2
7.591,203.481,0.4275
7.591,203.481,0.4275
7.6,203,8
7.608,201.711,0
7.608,206.111,0
7.624,200.241,1.3
7.65,202.561,0
7.65,207.161,0
7.671,200.424,1.5
7.69,202.052,0
7.69,209.752,0
7.718,202.706,1.5
7.727,201.285,0
7.727,207.985,0
7.755,199.812,1.3
7.762,203.659,0
7.762,206.659,0
7.774,199.565,1.5
7.795,204.074,0
7.795,205.574,0
7.812,202.471,1.5
7.825,208.829,0
7.825,204.43,0
7.83,238.754,21.997
7.83,238.754,21.997
7.853,211.725,0
7.853,202.625,0
7.859,211.553,1.5
7.878,209.162,0
7.878,202.562,0
7.902,210.638,0
7.902,202.138,0
7.906,209.835,1.5
7.922,213.154,0
7.922,203.954,0
7.94,225.509,0
7.94,202.109,0
7.953,211.118,1.5
7.956,235.504,0
7.956,202.104,0
7.965,199.13,3.0135
7.965,199.13,3.0135
7.97,209.039,0
7.97,203.039,0
7.981,210.413,0
7.981,200.013,0
7.989,208.726,0
7.989,200.526,0
7.995,211.778,0
7.995,200.078,0
7.995,203.38,1.523
7.995,203.38,1.523
7.999,209.67,0
7.999,200.07,0
8,200,0
8,207.5,1.5
8,200,0
8.048,197.144,3.3545
8.048,197.144,3.3545
8.055,201.386,10.211
8.055,201.386,10.211
8.073,187.494,0.9785
8.073,187.494,0.9785
8.092,202.093,1.0365
8.092,202.093,1.0365
8.138,211.652,1.2825
8.138,211.652,1.2825
8.177,193.441,2.2005
8.177,193.441,2.2005
8.26,189.373,2.592
8.26,189.373,2.592
8.305,198.369,1.427
8.305,198.369,1.427
8.34,270.52,0.66
8.378,231.714,9.1635
8.378,231.714,9.1635
8.383,165.661,3.5775
8.383,165.661,3.5775
8.436,209.601,5.3445
8.436,209.601,5.3445
8.441,192.557,3.4635
8.441,192.557,3.4635
8.462,188.915,4.069
8.462,188.915,4.069
8.562,201.026,4.7985
8.562,201.026,4.7985
8.607,168.311,5.7495
8.607,168.311,5.7495
8.628,196.398,6.779
8.628,196.398,6.779
8.741,199.124,4.32
8.741,199.124,4.32
8.785,179.804,7.086
8.785,179.804,7.086
8.853,192.623,7.911
8.853,192.623,7.911
8.862,192.245,3.079
8.862,192.245,3.079
8.98,159.935,8.016
8.98,159.935,8.016
9.12,193,6.5
9.164,173.001,11.278
9.164,173.001,11.278
9.194,201.865,35.9785
9.194,201.865,35.9785
9.207,177.061,6.249
9.207,177.061,6.249
9.291,174.977,11.3625
9.291,174.977,11.3625
9.34,160,2.015
9.346,162.471,18.1025
9.346,162.471,18.1025
9.383,191.772,12.31
9.383,191.772,12.31
9.396,164.06,13.789
9.396,164.06,13.789
9.41,169.446,13.8475
9.41,169.446,13.8475
9.44,174.33,5.055
9.447,179.11,15.9445
9.447,169.068,9.088
9.447,179.11,15.9445
9.447,169.068,9.088
9.45,235.58,8.44
9.453,199.12,4.621
9.453,199.12,4.621
9.498,212.639,13.006
9.498,212.639,13.006
9.5,146.01,6.05
9.52,190.702,13.823
9.52,190.702,13.823
9.572,163.145,8.346
9.572,163.145,8.346
9.577,188.017,4.5535
