R,VROT_DATA,VROT_DATA_ERROR
.23755870374553387,16.7,11.3
.7126761112812711,45.4,9.1
1.187793518951017,64.7,4
1.6629109268441093,71.7,4.4
2.1380283350498885,74.8,10.1
2.3755870392979537,75.7,8.8
3.08826315275686,82,4
3.5633805624367323,86.9,4
4.228544937134234,93.9,5.8
4.347324289915717,94.8,4.6
4.988732795853951,99.3,9.3
5.677653044883101,103.4,4
5.938967622673492,104.6,5.9
6.200282200801698,105.7,4
6.7466672289541405,108.1,6.2
7.981972516389444,114.7,4.7
8.884695617380904,120.1,4
9.811174595727836,125.6,8.2
10.690141838069614,130.7,6.3
11.355306242222158,134.7,4
11.996714778758525,138.6,4
12.994461399401,144.6,4
