R,VROT,VROT_ERROR
0.888096774,39,9.5
1.776193548,55,7
2.664290323,66,8.5
3.552387097,84,7.5
4.440483871,94,8.5
5.328580645,104,7.5
6.216677419,115,7
7.104774194,127,7
7.983003226,129,7
8.8711,127,7
9.759196774,124,7
10.64729355,122,5
