R,VROT_DATA,VROT_DATA_ERROR
1.047197580733137,34.6,.9
1.5707964264807217,47,.8
2.094395338685535,59.1,3.1
2.6179943395000063,64.4,1.4
3.1415934510765764,67.4,2.3
3.6651926955677068,69.8,.7
4.18879209512588,71.3,1.1
4.712391671903608,73.2,1.7
5.2359914480534275,75.1,3
5.759591445727916,78.5,3.8
6.283191687079682,81.4,5
6.806792194261377,83.5,7
7.330392989425699,87.1,7.2
7.853994094725396,90.7,4.8
8.377595532313263,93.1,1.4
8.901197324342158,95.9,2.1
9.424799492964993,98.4,5.2
9.948402060334752,101.5,8.2
10.472005048604471,103.6,9.4
10.995608479927274,104,9.4
11.519212376456354,105,8.9
12.042816760344978,105,8.4
12.5664216537465,105.2,9
13.090027078814362,106,8.4
13.613633057702092,108.4,7.7
14.137239612563313,107.8,9
