R,VROT_DATA,VROT_DATA_ERROR
1.6057029408199737,138.13,5.747
1.7060593785911178,141.73,3.671
1.80641581708406,122.3,11.171
1.9067722563412617,126.62,5.671
2.0071286964051795,123.91,6.141
2.1074851373182732,141.76,7.048
2.2078415791230013,140.22,5.836
2.308198021861822,128.47,5.509
2.408554465577195,135.94,7.352
2.5089109103115788,138.1,11.536
2.6092673561074324,147.84,9.385
2.7096238030072137,141.27,8.421
2.809980251053382,143.3,9.624
2.9103367002883966,150.82,7.577
3.0106931507547166,147.04,8.321
3.1110496024947993,149.22,8.067
3.2114060555511053,151.04,6.582
3.3117625099660915,147.59,6.217
3.4121189657822177,147.76,6.39
3.512475423041943,152.14,4.363
3.612831881787725,149.84,4.352
3.7131883420620255,150.81,3.955
3.8135448039072997,151.84,4.043
3.913901267366009,154.93,4.853
4.014257732480609,157.05,4.688
4.1146141992935625,157.41,5.081
4.214970667847327,157.47,5.578
4.315327138184361,158.33,6.302
4.415683610347122,163.63,6.161
4.51604008437807,167.12,5.314
4.6163965603196635,166.43,5.368
4.716753038214365,167.82,5.464
4.817109518104627,167.91,6.496
4.9174660000329125,170.74,5.648
5.0178224840416785,173.63,5.524
5.1181789701733855,174.78,5.122
5.218535458470492,177.88,6.07
5.318891948975456,181.67,5.013
5.419248441730736,183.07,5.543
5.519604936778793,183.03,4.622
5.619961434162084,183.68,5.871
5.720317933923068,187.77,6.737
5.820674436104205,189.38,6.262
5.921030940747952,191.6,6.035
6.021387447896772,191.69,5.693
6.121743957593119,192.9,5.564
6.222100469879453,194.42,5.605
6.322456984798236,194.63,5.909
6.422813502391924,194.88,5.745
6.523170022702975,196.7,6.031
6.623526545773852,198.93,6.587
6.72388307164701,201.87,6.26
6.824239600364911,199.78,6.18
6.92459613197001,198.71,6.576
7.024952666504771,199.93,5.679
7.125309204011649,200.43,5.955
7.225665744533103,199.36,6.751
7.326022288111596,199.82,6.898
7.426378834789581,201.4,7.525
7.526735384609523,200.12,7.52
7.627091937613877,199.74,7.802
7.727448493845102,198.77,7.609
7.82780505334566,199.89,7.749
7.928161616158006,199.43,8.324
8.028518182324603,200.48,8.1
8.128874751887908,202.49,8.799
8.22923132489038,201.72,8.21
8.329587901374477,203.24,7.995
8.429944481382659,201.15,7.673
8.530301064957383,200.2,7.678
8.630657652141116,197.83,7.292
8.73101424297631,194.94,6.24
8.831370837505421,199.48,6.997
8.931727435770915,201.15,7.375
9.032084037815247,198.67,6.557
9.13244064368088,199,6.094
9.232797253410268,199.17,6.038
9.333153867045873,198.91,6.134
9.433510484630155,198.47,11.289
9.53386710620557,199.94,7.004
9.63422373181458,198.27,10.619
9.734580361499642,196.85,6.434
9.834936995303217,195.62,8.155
9.935293633267761,195.97,6.057
10.035650275435737,194.49,5.64
10.136006921849603,196.6,5.154
10.236363572551817,197.19,4.741
10.336720227584836,198,5.456
10.437076886991127,201.39,5.262
10.53743355081314,204,4.423
10.63779021909334,205.36,4.75
10.738146891874184,203.8,4.243
10.83850356919813,203.57,3.749
10.938860251107641,203.78,3.786
11.039216937645172,202.82,3.26
11.139573628853183,201.08,8.612
11.23993032477414,200.97,3.864
11.34028702545049,200.32,3.586
11.440643730924702,199.94,3.605
11.541000441239232,200.37,5.264
11.641357156436538,199.94,5.602
11.741713876559082,199.54,5.143
11.84207060164932,197.03,4.451
11.942427331749714,196.26,3.93
