R,VROT_DATA,VROT_DATA_ERROR
.7417649326787488,206,16
2.2252948119840563,214,10
3.708824733132795,222,8
5.19235472402059,224,8
6.675884812543067,225,8
7.788532459788657,222,6
10.013828013186155,220,3
12.239123990248629,218,2
14.464420485123988,219,2
16.689717591960246,217,2
18.915015404905503,218,2
21.140314018108004,220,2
23.365613525716093,222,2
25.590914021878298,218,3
27.816215600743295,217,3
30.04151835645995,207,3
32.26682238317733,199,3
34.49212777504472,191,3
36.71743462621162,193,3
38.9427430308278,192,3
41.16805308304327,194,4
43.39336487700833,196,5
45.61867850687358,200,10
