R,VROT,VROT_ERROR
0.821135261,24,6
1.642270522,50,6
2.463405783,74,7
3.284541045,101,6
4.105676306,107,5
4.917687842,115,5
5.738823103,123,5
6.559958364,130,5
7.381093625,134,5
8.202228886,136,6
9.023364147,137,6
9.844499409,136,5
10.66563467,137,5
11.48676993,137,5
12.30790519,137,5
13.12904045,138,5
13.94105199,137,8
