R,VROT,VROT_ERROR
3.00206,189,10
6.00412,212,5
9.00618,206,5
12.0082,200,5
15.0103,172,12
18.0124,190,10
21.0144,169,10
24.0165,150,10
30.0206,160,10
33.0226,155,10
36.0247,151,12
