R,VROT,VROT_ERROR
1.764166129,145,10
3.518585484,174,10
5.282751613,194,10
7.046917742,191,8.5
8.889058065,186,9
11.00410806,188,8
13.2946,187,10
15.49737097,179,11
17.43697903,176,17
19.20114516,167,18
20.51695968,148,21
