R,VROT,VROT_ERROR
1.816714516,96,20.5
3.633429032,157,16
5.450143548,192,10
7.266858065,201,9
9.083572581,201,10
10.91032419,195,9
12.72703871,190,9
14.54375323,186,9
16.36046774,184,9
18.17718226,182,10
19.99389677,181,10.5
21.81061129,183,10
23.62732581,185,10
25.44404032,186,11
27.26075484,186,11
29.07746935,185,14
30.89418387,185,14
