R,VROT_DATA,VROT_DATA_ERROR
.2908882123122079,6.1,1.6
.5817764465033348,11.2,.7
.8726647244523064,14.9,1.5
1.1635530680380617,19.1,2.2
1.4544414991395591,24.3,.9
1.7453300396357831,29.8,1.9
2.036218711405753,34.3,1.6
2.327107536328524,38.2,3.5
2.6179965362832007,42.5,5.6
2.9088857331489386,42.3,3
3.1997751488049544,47.3,4.4
3.4906648051305265,49.3,4
3.781554724005011,50.6,3.5
4.072444927307839,53,3.5
4.363335436918529,54.7,3.3
4.654226274716693,55.2,3.1
4.9451174625820356,57.5,2.6
5.236009022394375,59.1,2.4
5.5269009760336365,61.2,1.9
5.817793345379864,62.7,1.9
6.108686152313228,64.4,2.9
6.399579418714028,66.6,3.2
6.690473166462706,66.3,3.4
6.981367417439847,66.2,3.2
7.272262193526185,67.3,3
