R,VROT_DATA,VROT_DATA_ERROR
0.271254,5,7.5
0.542509,8.9,9.9
0.813763,14.5,6.3
1.08502,26.4,5.6
1.35627,28.9,5.7
1.62753,27.8,2.3
1.89878,31.8,3.2
2.17003,42.8,2.1
2.44129,48.2,1.6
2.71254,48.4,1.3
2.9838,50.6,1
3.25505,53.5,1
3.52631,57.2,1.3
3.79756,59.1,1.5
4.06881,59.8,1.6
4.34007,60.3,1.6
4.61132,60.7,1.6
4.88258,62.1,1.9
5.15383,63.6,1.6
5.42509,62,1.6
5.69634,60.5,1.4
5.96759,60.3,1.5
6.23885,63.8,1.3
6.5101,66.1,1.3
6.78136,67.7,1.2
7.05261,70.4,1.1
7.32387,73,1.2
7.59512,74.2,1.2
7.86638,75.1,1.3
8.13763,75.2,1.2
8.40888,76.3,1.3
8.68014,77.2,1.4
9.22265,76.9,1.5
9.76516,77.5,2
10.3077,78.7,2
