R,VROT_DATA,VROT_DATA_ERROR
2.462747208,242.24,7.309
2.569823208,245.71,8.481
2.676899212,245.28,10.37
2.783975221,243.54,6.013
2.891051234,241.91,2.823
2.998127252,243.62,2.613
3.105203275,246.85,3.218
3.212279304,248,3.5
3.319355338,251.23,4.496
3.426431377,250.98,5.121
3.533507422,247.69,6.736
3.640583474,245.64,6.756
3.747659531,244.28,5.506
3.854735595,242.85,4.661
3.961811665,240.61,4.171
4.068887742,239.12,3.493
4.175963826,237.65,2.936
4.283039917,235.75,2.782
4.390116015,234.24,2.814
4.497192121,233.54,2.879
4.604268234,233.48,2.954
4.711344355,233.27,3.324
4.818420485,232.22,3.565
4.925496622,231.66,3.438
5.032572767,231.56,3.21
5.139648921,231.8,3.22
5.246725084,232.56,3.444
5.353801256,233.63,3.762
5.460877436,234.72,4.488
5.567953626,235.68,3.701
5.675029826,236.86,3.641
5.782106035,238.01,5.056
5.889182253,239.17,3.659
5.996258482,239.75,3.749
6.103334721,240.15,7.041
6.21041097,240.51,7.027
6.31748723,241.27,4.195
6.4245635,241.88,4.592
6.531639781,242.68,5.013
6.638716074,243.56,5.687
6.745792377,244.71,6.298
6.852868692,247.95,6.747
6.959945019,251.92,7.296
7.067021357,257.06,7.188
7.174097707,259.75,6.642
7.28117407,259.6,6.333
7.388250444,259.48,6.117
7.495326832,259.11,5.801
7.602403232,258.48,5.358
7.709479644,258.06,4.985
7.81655607,257.89,5.055
7.923632509,257.05,5.159
8.030708962,255.59,5.211
8.137785428,253.56,5.281
8.244861908,251.43,5.622
8.351938402,249.53,5.99
8.45901491,248.17,6.026
8.566091432,246.85,5.894
8.673167969,245.79,5.555
8.78024452,244.5,8.02
8.887321086,242.85,8.055
8.994397668,241.69,5.077
9.101474264,240.16,5.088
9.208550876,239.05,5.282
9.315627504,237.64,5.443
9.422704147,236.24,5.645
9.529780806,234.55,5.444
9.636857482,232.94,7
9.743934173,230.21,9.017
9.851010881,228.58,6.38
9.958087606,226.47,6.537
10.06516435,224.32,7.832
10.17224111,223.87,6.116
10.27931788,223.08,5.668
10.38639468,222.14,5.486
10.49347149,221.57,5.523
10.60054832,221.12,5.606
10.70762516,220.36,6.49
10.81470203,219.36,6.255
10.92177891,218.03,6.639
11.02885581,215.79,7.793
11.13593273,214.31,7.151
11.24300967,212.68,7.177
11.35008663,211.02,7.372
11.45716361,209.49,7.54
11.5642406,208,7.525
11.67131762,207.11,7.3
11.77839465,206.76,6.913
11.88547171,205.4,6.599
11.99254879,203.56,6.275
12.09962588,202.19,7.529
12.206703,201.3,7.448
12.31378014,201.1,7.03
12.4208573,200.66,9.807
12.52793448,200.18,11.879
12.63501168,200.32,11.779
12.7420889,201.11,7.979
12.84916614,200.28,13.208
12.95624341,199.9,8.755
13.06332069,198.51,10.009
13.170398,198.26,9.725
13.27747533,198.64,9.753
13.38455269,198.57,10.037
13.49163006,198.81,9.768
13.59870746,198.32,10.426
13.70578489,198.52,12.168
13.81286233,199.14,12.027
13.9199398,199.04,13.786
14.02701729,198.93,14.658
14.13409481,198.32,15.338
14.24117235,195.35,20.493
14.34824992,197.6,14.258
14.4553275,197.84,13.095
14.56240512,196.39,15.506
14.66948275,197.15,15.041
14.77656042,197.43,12.261
14.8836381,196.68,16.17
14.99071582,196.84,15.003
