R,VROT,VROT_ERROR
0.288948954,17.8,16.3
0.866846862,48.2,6.2
1.415849875,70.6,17.5
2.022642678,84,6.5
2.600540587,90.3,6.9
3.294018078,95.2,9.5
3.66965172,98.3,7.5
5.143291393,112.5,6.2
6.067928054,116.2,6.2
7.108144301,115.7,6.2
7.801621801,115.4,6.2
8.206150344,116,6.8
8.986312536,117.3,15.7
9.361946185,117.4,6.2
11.5579583,118,6.2
