R,VROT,VROT_ERROR
1.64516,54.7,8.3
3.30129,85.4,7
4.94645,93.8,6.2
6.59161,98.7,5.2
8.23677,103,5.2
9.8929,107,5.2
11.5161,109,5.2
12.3935,110,7.4
13.1613,108,7.4
14.8065,108,7.4
15.6839,108,7.4
