R,VROT_DATA,VROT_DATA_ERROR
.41015237433435225,23.77,5.576
.8203047493628132,42.3,6.204
1.2304571257794912,56.24,6.558
1.6406095042784956,67.49,6.965
2.0507618855539342,76.42,7.424
2.4609142702999165,84.69,5.94
2.8710666592105505,91.77,5.494
3.2812190529799463,99.19,4.859
3.69137145230221,106.33,4.307
4.101523857871454,113.52,4.031
4.511676270381785,121.48,4.653
4.921828690527312,128.58,5.635
5.331981119002145,133.93,6.663
5.74213355650039,138.2,7.271
6.15228600371616,140.4,7.032
6.562438461343563,142.38,5.534
6.972590930076706,142.83,3.916
7.3827434106097,142.91,4.516
7.792895903636656,143.22,6.099
8.20304840985168,144.51,6.82
8.613200929948885,145.99,6.666
9.02335346462238,147.07,6.148
9.43350601456627,148.39,5.116
9.843658580474672,149.92,3.861
10.253811163041691,151.14,3.192
10.66396376296144,152,3.271
11.074116380928025,152.64,3.623
11.484269017635562,153.39,3.846
11.894421673778158,154.52,3.963
12.304574350049924,155.68,3.685
12.714727047144969,156.94,3.314
13.12487976575741,157.8,3.22
13.53503250658135,158.52,3.254
13.945185270310905,158.67,3.245
14.355338057640184,158.04,3.218
14.765490869263298,156.56,3.391
15.175643705874363,155.15,3.873
15.585796568167488,153.04,4.865
15.995949456836785,151.08,5.308
16.406102372576363,150,5.178
16.81625531608034,150.11,5.031
17.226408288042826,150.23,4.808
17.63656128915793,150.27,4.512
18.046714320119776,150.33,4.325
18.456867381622462,150.49,4.283
18.867020474360114,150.67,4.187
19.27717359902684,151.29,4.309
19.68732675631675,152,4.302
20.097479946923965,152.78,4.196
20.507633171542594,152.99,4.191
20.91778643086676,153.09,4.314
21.327939725590564,152.85,4.145
21.73809305640813,151.56,3.687
22.148246424013568,150.88,3.23
22.558399829101003,150.67,3.021
22.968553272364545,150.26,3.301
23.378706754498303,149.77,3.622
23.788860276196402,149.5,3.622
24.199013838152958,149.66,3.438
24.609167441062084,149.99,3.325
25.0193210856179,150.09,3.189
25.42947477251452,149.94,3.226
25.83962850244606,149.54,3.286
26.24978227610665,149.11,3.473
26.659936094190392,148.61,3.666
27.070089957391417,148.17,3.855
27.480243866403836,148.34,3.964
27.89039782192176,148.19,3.947
28.300551824639328,147.86,4.233
28.710705875250657,146.84,4.21
29.12085997444986,146.45,4.496
29.53101412293104,146.11,4.574
29.941168321388364,145.45,4.833
30.351322570515897,145.35,4.866
30.761476871007797,145.17,4.686
31.17163122355818,145.17,4.502
31.581785628861166,145.21,4.604
31.991940087610878,145.06,4.507
32.40209460050143,145.79,4.427
32.81224916822695,146.55,4.296
33.22240379148157,146.8,4.231
33.632558470959395,146.95,4.52
34.04271320735458,146.83,4.675
34.452868001361225,147.12,4.806
34.86302285367345,147.95,5.279
35.27317776498541,148.65,5.226
35.6833327359912,149.04,4.756
36.093487767384964,149.07,4.419
36.50364285986082,147.88,4.317
36.91379801411289,147.54,4.079
37.32395323083533,147.48,3.62
37.73410851072222,147.74,3.634
38.144263854467745,148.88,3.511
38.55441926276599,149.71,3.424
