R,VROT_DATA,VROT_DATA_ERROR
1.1053753176395882,28.7,3.4
1.6580632102904154,37.6,2.6
2.2107513835386587,43.1,1.2
2.763439930917087,50.1,2.8
3.3161289459587207,58.1,4.5
3.868818522196897,64.6,4.1
4.421508753165333,68.5,2.7
4.9741997323981915,72.3,.8
5.526891553430137,74.2,2.4
6.0795843097964095,78.9,2.6
6.632278095032875,82.4,2.3
7.184973002676104,84.3,4.8
7.737669126263422,85.4,7.3
8.290366559332977,85.3,4.6
8.843065395423805,86.8,4
9.395765728075894,85.4,5.7
9.948467650830242,85.4,7
10.501171257228924,86.2,4.1
11.053876640815155,86.1,6.2
11.606583895133353,87.4,2.5
12.159293113729204,86.5,5.5
