R,VROT_DATA,VROT_DATA_ERROR
0.0830004,1.98,6.926
0.166001,15.78,7.691
0.249001,22.3,4.584
0.332002,32.16,4.542
0.415002,39.67,4.433
0.498003,46.24,4.892
0.581003,53.31,5.425
0.664003,59.93,5.252
0.747004,63.97,4.703
0.830004,67.31,4.833
0.913005,71.34,5.217
0.996005,75.57,5.835
1.07901,77.88,5.215
1.16201,78.48,4.769
1.24501,79.11,4.473
1.32801,79.94,4.478
1.41101,78.37,4.277
1.49401,78.17,5.311
1.57701,80.29,5.612
1.66001,81.05,4.532
1.74301,82.24,4.249
1.82601,84.09,4.042
1.90901,84.33,4.746
1.99201,85.52,5.536
2.07501,87.43,6.061
2.15801,89.9,6.303
2.24101,91.76,6.55
2.32401,93.15,6.431
2.40701,93.87,6.196
2.49001,94.41,5.643
2.57301,95.31,5.843
2.65601,96.72,5.987
2.73901,98.01,5.72
2.82201,97.78,6.124
2.90501,98.34,6.088
2.98802,96.17,5.947
3.07102,96.39,6.168
3.15402,98.41,5.719
3.23702,98.95,5.65
3.32002,97.96,5.947
3.40302,98.02,5.535
3.48602,97.81,5.436
3.56902,98.59,4.98
3.65202,99.98,4.97
3.73502,99.95,5.133
3.81802,100.05,4.688
3.90102,100.47,4.215
3.98402,101.51,3.98
4.06702,102.31,4.451
4.15002,103.36,4.389
4.23302,104.14,4.25
4.31602,104.8,4.151
4.39902,105.96,4.658
4.48202,107.77,5.368
4.56502,108.78,5.801
4.64802,109.97,5.913
4.73102,110.76,5.957
4.81402,111.86,6.024
4.89703,113.2,6.022
4.98003,114.32,5.968
5.06303,114.82,5.845
5.14603,115.8,5.533
5.22903,116.3,5.87
5.31203,116.7,5.649
5.39503,117.2,5.172
5.47803,117.46,5.133
5.56103,118.29,5.236
5.64403,119.14,5.377
5.72703,119.16,5.942
5.81003,119.47,6.878
5.89303,120.57,7.367
5.97603,120.4,7.718
6.05903,120.54,7.834
6.14203,121.19,7.553
6.22503,121.36,7.463
6.30803,121.72,6.861
6.39103,122.2,6.338
6.47403,122.7,6.054
6.55703,123.5,5.87
6.64003,124.38,5.873
6.72303,125.11,5.817
6.80603,125.92,5.933
6.88904,125.9,6.142
6.97204,126.13,6.468
7.05504,125.77,6.591
7.13804,126.11,6.455
7.22104,126.28,6.02
7.30404,125.91,5.658
7.38704,125.39,5.887
7.47004,125.96,5.944
7.55304,125.97,5.919
7.63604,125.55,5.909
7.71904,125.14,5.917
7.80204,125.36,5.576
7.88504,125.73,5.371
7.96804,125.94,5.086
8.05104,126.86,4.891
8.13404,127.39,4.766
8.21704,127.04,4.889
8.30004,127.53,4.936
8.38304,128.06,4.844
8.46604,128.55,4.853
8.54904,128.08,4.911
8.63204,127.35,4.831
8.71504,126.96,4.735
8.79805,126.63,4.931
8.88105,126.74,4.76
8.96405,126.76,4.815
9.04705,126.73,4.774
9.13005,126.85,4.638
9.21305,126.85,4.775
9.29605,126.9,4.565
9.37905,126.51,4.618
9.46205,126.04,4.804
9.54505,126.34,4.816
9.62805,126.66,4.753
9.71105,126.17,4.775
9.79405,126.15,4.523
9.87705,126.41,4.326
9.96005,126.56,4.346
10.0431,127.1,4.361
10.1261,127.71,4.569
10.2091,128.05,4.667
10.2921,127.91,4.857
10.3751,128.3,4.623
10.4581,128.07,4.432
10.5411,127.36,4.429
10.6241,127.82,4.099
10.7071,128.34,3.842
10.7901,128.45,4.034
10.8731,128.72,4.137
10.9561,129.13,4.092
11.0391,129.16,4.198
11.1221,129.23,4.378
