R,VROT_DATA,VROT_DATA_ERROR
.061086523825664395,10.63,4.106
.122173047686506,17.01,3.336
.183259571617702,20.26,4.257
.2443460956544296,23.83,4.267
.3054326198318659,25.39,3.855
.3665191441851883,26.24,3.762
.4276056687495738,27.66,3.116
.4886921935601997,29.72,3.662
.5497787186522434,31.21,3.275
.6108652440608816,34.72,3.771
.6719517698212918,37.38,3.42
.7330382959686512,39.5,2.951
.794124822538137,42.2,2.293
.8552113495649265,44.06,2.756
.9162978770841969,46.92,3.555
.977384405131125,48.6,4.455
1.0384709337408884,48.73,3.935
1.0995574629486642,50.91,3.804
1.16064399278963,55.64,3.394
1.2217305232989624,60.43,4.201
1.2828170545118383,63.66,3.994
1.3439035864634359,65.78,3.003
1.404990119188932,67.28,2.84
1.4660766527235036,69.27,3.005
1.5271631871023288,70.64,2.967
1.5882497223605834,72.16,3.139
1.649336258533446,73.87,3.51
1.7104227956560922,75.02,3.491
1.7715093337637013,75.44,2.979
1.8325958728914487,75.65,3.72
1.8936824130745125,75.8,3.258
1.9547689543480697,74.44,5.111
2.0158554967472977,74.94,5.759
2.076942040307374,75.44,5.485
2.1380285850634753,77.14,4.35
2.1991151310507795,78.47,3.476
2.260201678304463,80.09,3.36
2.321288226859703,80.52,3.747
2.382374776751678,80.48,4.892
2.4434613280155646,82.78,4.203
2.504547880686539,85.72,5.131
2.5656344347997804,86.23,6.459
