R,VROT,VROT_ERROR
0.755367067,38,12.5
1.502341166,80,12.5
2.257708233,121,12.5
3.0130753,142,10
3.768442367,153,9
4.515416467,160,8
5.270783533,162,8
6.0261506,167,6.5
6.781517667,169,8
7.528491767,171,8
8.283858834,171,8
9.039225901,170,9
9.7862,169,10
