R,VROT,VROT_ERROR
0.675119585,21,7
1.34273784,36,6
2.017857425,43,6
2.692977009,51,6
3.360595265,60,6
4.03571485,65,7.5
4.703333105,68,6
5.040892898,73,7
5.37845269,70,7
6.053572275,74,7
6.72119053,78,7
7.058750323,79,7
