R,VROT,VROT_ERROR
4.24314,50.34,5
7.42549,74.2,5
10.6078,84.78,5
14.851,90.12,5
18.0333,94.65,5
21.2157,97.01,5
24.398,100.1,5
27.5804,101.5,4
30.7627,100.65,5
33.9451,100.78,5
37.1275,100.14,5
