R,VROT_DATA,VROT_DATA_ERROR
.31900740229254343,20.16,22.95
.6380148053198995,25.96,25.509
.9570222098168806,28.24,22.434
1.2760296165182994,38.21,22.828
1.5950370261589686,66.07,19.52
1.9140444394737004,98.94,13.922
2.2330518571973084,129.66,9.274
2.5520592800646043,149.88,6.805
2.871066708810401,167.38,8.968
3.1900741441695124,181.04,11.644
3.5090815868767495,191.51,10.79
3.8280890376669263,200.26,10.106
4.147096497274857,206.66,9.159
4.466103966435352,211.13,8.196
4.785111445883227,213.46,7.037
5.104118936353293,214.07,5.791
5.423126438580367,213.45,5.235
5.742133953299257,213.22,4.973
6.06114148124478,214.17,4.63
6.380149023151752,215.47,4.233
6.699156579754982,215.27,3.944
7.0181641517892865,213.96,4.039
7.337171739989479,212.49,4.023
7.656179345090375,210.97,4.042
7.9751869678267875,207.71,4.575
8.29419460893353,204.78,5.171
8.613202269145422,200.77,5.637
8.932209949197274,199.03,5.345
9.251217649823902,200.68,4.837
9.570225371760124,200.36,4.974
9.88923311574075,200.61,4.97
10.208240882500599,201.93,5.18
10.527248672774487,204,8.209
10.846256487297232,206.88,4.214
11.165264326803646,206.13,3.779
11.48427219202855,205.13,4.035
11.803280083706758,204,4.352
12.122288002573088,203.32,4.633
12.44129594936236,203,4.881
12.760303924809385,202.32,5.23
13.079311929648982,201.63,5.488
13.398319964615975,200.87,5.599
13.717328030445179,200.3,5.866
14.036336127871413,199.99,5.991
14.355344257629495,199.89,6.164
14.674352420454245,199.84,6.433
14.993360617080484,199.79,6.782
15.312368848243029,199.82,6.79
15.6313771146767,199.75,6.622
15.950385417116323,199.74,6.316
16.26939375629671,199.81,6.081
16.58840213295269,199.53,6.031
16.907410547819083,199.02,5.987
17.226419001630706,198.53,5.983
17.54542749512239,197.25,5.93
17.86443602902895,195.59,5.538
18.18344460408521,194.18,5.178
18.502453221025995,192.91,4.92
18.821461880586135,191.94,4.62
19.140470583500438,191.18,4.715
19.45947933050374,190.31,4.821
19.77848812233087,190.18,5.156
20.097496959716644,190.05,5.401
20.41650584339589,188.73,5.744
20.735514774103436,187.93,8.148
21.05452375257411,188.31,6.306
21.373532779542735,188.38,6.681
21.692541855744143,188.65,6.996
22.011550981913157,189.44,7.004
22.33056015878461,190.23,6.854
22.64956938709333,190.26,6.748
22.96857866757415,190.06,6.716
23.287588000961893,189.86,6.517
23.60659738799139,189.75,5.839
23.92560682939747,189.92,5.042
24.244616325914972,189.74,5.078
24.56362587827872,189.81,5.028
24.88263548722355,189.48,5.292
25.201645153484296,189.11,5.703
25.520654877795792,187.27,8.65
25.839664660892872,187.22,5.933
26.158674503510365,187.09,6.004
26.477684406383116,186.82,8.107
26.796694370245945,186,8.472
27.115704395833706,184.61,5.72
27.434714483881226,185.01,5.514
27.753724635123344,185.01,5.88
28.072734850294893,185.07,5.367
28.391745130130722,186.01,5.071
28.710755475365662,187,4.519
29.029765886734552,187.13,4.201
29.348776364972238,187.9,4.888
29.667786910813568,185.41,5.578
29.986797524993356,186.58,5.446
30.305808208246475,188.64,5.325
30.624818961307742,185.77,6.396
30.943829784912026,179.56,6.018
