R,VROT,VROT_ERROR
1.95483871,57,10
2.932258065,87,7
3.909677419,92,8.5
4.887096774,94,7
5.864516129,98,6
6.841935484,100,6
7.819354839,102,5
8.785913978,107,6
9.763333333,108,6
10.74075269,111,6
11.71817204,113,6
12.6955914,111,7
13.67301075,108,7
14.16172043,102,10
14.65043011,109,7
15.62784946,108,10
16.60526882,108,10
17.58268817,109,12
