R,VROT_DATA,VROT_DATA_ERROR
0.353431,19.38,3.557
0.706861,34.68,5.396
1.06029,87.05,18.593
1.41372,142.28,19.343
1.76715,172.94,11.211
2.12058,185.01,15.622
2.47401,199.41,11.858
2.82744,209.04,11.205
3.18087,217.52,8.091
3.53431,223.47,6.489
3.88774,224.59,9.461
4.24117,222.15,10.016
4.5946,220.95,6.432
4.94803,222.2,5.241
5.30146,224.77,4.904
5.65489,228.21,4.521
6.00832,231.13,3.992
6.36175,232.03,4.031
6.71518,232.75,4.045
7.06861,233.39,3.923
7.42204,233.44,4.238
7.77547,232.67,6.663
8.1289,231.14,9.984
8.48233,231.14,10.386
8.83576,230.99,8.394
9.18919,230.33,8.13
9.54262,230.08,7.019
9.89606,229.76,7.029
10.2495,230.18,6.995
10.6029,231.18,7.601
10.9563,231.4,8.102
11.3098,231.06,8.293
11.6632,230.11,8.933
12.0166,229.45,10.008
12.3701,228.04,12.555
12.7235,227.81,12.057
13.0769,227.76,10.658
13.4304,227.57,9.462
13.7838,226.75,9.481
14.1372,224.94,11.828
14.4907,224.79,11.797
14.8441,222.53,13.7
15.1975,218.63,16.711
15.5509,212.27,22.695
15.9044,209.32,26.132
16.2578,209.18,28.525
16.6112,206.57,31.802
16.9647,210.71,30.27
17.3181,213.43,30.668
17.6715,214.92,30.139
18.025,217.5,28.741
18.3784,218.83,28.011
18.7318,216.52,28.557
19.0852,215.2,28.975
19.4387,215.92,28.044
19.7921,215.24,26.859
20.1455,214.11,26.492
20.499,214.27,26.968
20.8524,213.41,27.215
21.2058,213.98,26.784
21.5593,213.6,26.683
21.9127,213.92,26.329
22.2661,214.38,25.661
22.6196,214.37,26.265
22.973,212.67,26.941
23.3264,210.81,28.235
23.6798,208.81,28.742
24.0333,201.59,28.325
24.3867,193.32,25.087
24.7401,189.26,22.848
25.0936,188.13,22.218
25.447,187.96,21.993
25.8004,188.5,22.633
26.1539,183.11,20.923
26.5073,186.53,21.43
26.8607,185.97,19.784
27.2142,184.15,19.301
27.5676,184.43,19.579
27.921,187.16,18.803
28.2744,184.47,19.795
28.6279,182.47,19.49
28.9813,185.21,17.998
29.3347,188.58,17.446
29.6882,189.76,17.52
30.0416,191.07,17.112
30.395,193.42,16.767
30.7485,190.2,18.002
31.1019,187.59,18.032
31.4553,188.35,17.529
31.8087,190.41,16.968
32.1622,193.17,16.576
32.5156,195.3,16.636
32.869,193.36,17.6
33.2225,196.81,16.894
33.5759,200.22,16.483
33.9293,198.61,16.097
34.2828,199.69,16.157
34.6362,200.46,16.733
34.9896,201.78,16.651
35.3431,203.24,16.307
