R,VROT_DATA,VROT_DATA_ERROR
1.9780398437230136,168.25,27.113
2.2252948315981644,178.45,29.112
2.47254982208853,187.56,30.616
2.7198048154846894,187.89,32.455
2.967059812077222,178.99,28.419
3.214314812156708,180.74,27.351
3.4615698160137263,188.99,21.216
3.7088248239388553,203.38,15.153
3.9560798362226772,207.06,11.143
4.203334853155768,204.32,10.746
4.450589875028712,200.85,10.47
4.6978449021320845,203.5,7.931
4.945099934756466,204.88,6.738
5.192354973192438,205.47,6.446
5.439610017730577,204.02,6.349
5.686865068661467,204.28,5.49
5.934120126275683,203.29,4.798
6.18137519086381,200,5.364
6.428630262716422,195.01,6.133
6.675885342124103,194.23,7.025
6.923140429377433,194.51,6.125
7.170395524766987,189.96,7.124
7.417650628583351,187.59,8.424
7.664905741117102,188.49,9.408
7.91216086265882,188.78,10.441
8.159415993499087,188.25,12.063
