R,VROT_DATA,VROT_DATA_ERROR
.48481368262890534,197.7,11.412
.606017104354438,194.14,10.63
.7272205267921753,194.1,6.568
.8484239500845578,191.26,5.302
.9696273743740264,188.92,3.41
1.0908307998030218,193.98,3.84
1.2120342265139852,197.91,4.074
1.3332376546493576,198.29,4.775
1.4544410843515794,197.31,6.741
1.575644515763092,194.25,8.003
1.6968479490263364,188.57,8.223
1.8180513842837527,184.42,7.972
1.939254821677783,180.02,8.34
2.060458261350867,173.11,7.652
2.181661703445447,167.04,4.669
2.302865148103963,162.4,3.725
2.4240685954688557,158.08,3.629
2.5452720456825677,159.73,4.585
2.666475498887538,161.71,7.081
2.7876789552262093,164.44,9.339
2.9088824148410213,166.13,9.435
3.030085877874417,167.43,8.113
3.1512893444688346,169.92,7.418
3.2724928147667174,172.05,6.039
3.3936962889105065,173.31,5.774
3.5148997670426407,172.93,6.543
3.636103249305564,171.05,5.324
3.7573067358417167,169.59,4.904
3.8785102267935394,168.05,4.831
3.9997137223034733,164.41,5.514
4.12091722251396,160.89,5.908
4.24212072756744,158.55,4.814
4.363324237606356,154.83,3.879
4.484527752773149,152.68,4.362
4.6057312732102575,153.98,4.903
4.7269347990601265,156.34,5.332
4.848138330465197,157.03,4.993
4.969341867567909,157.99,5.305
5.090545410510703,160.69,4.916
5.211748959436023,157.58,5.619
5.332952514486309,153.19,6.463
5.454156075804002,150.32,5.806
5.575359643531545,153.14,7.02
5.696563217811378,156.14,7.733
5.817766798785944,156.64,8.582
5.938970386597685,155.63,8.493
6.060173981389042,150.46,8.629
6.181377583302452,147.38,7.768
6.302581192480366,148.05,8.046
6.42378480906522,146.61,10.228
6.544988433199454,143.82,7.362
6.666192065025515,141.06,7.984
6.787395704685843,138.64,7.947
6.908599352322877,137.68,6.751
7.029803008079062,137.58,6.522
7.151006672096838,137.27,5.581
7.2722103445186494,135.29,4.831
7.393414025486939,133.12,4.002
7.514617715144143,133.6,5.122
7.635821413632709,133.82,5.614
7.757025121095079,132.37,4.999
7.878228837673693,131.25,4.757
7.999432563510994,129.97,5.167
8.120636298749424,129.18,4.925
8.241840043531425,128.28,4.641
8.363043797999444,126.02,4.152
8.484247562295916,125,4.841
8.605451336563286,123.46,4.841
8.726655120944002,122.77,4.909
8.847858915580499,121.95,4.891
8.969062720615225,121.09,4.291
9.090266536190619,120.91,4.383
9.211470362449125,120.36,4.552
9.332674199533187,121.55,4.746
9.453878047585246,119.53,4.62
9.575081906747744,119.39,5.353
9.696285777163128,118.39,5.598
9.81748965897384,117.88,5.942
9.93869355232232,116.79,8.011
10.059897457351013,117.14,4.291
10.18110137420236,116.45,5.185
10.30230530301881,115.44,4.693
