R,VROT,VROT_ERROR
4.8,214,6
7.2,220,6
9.6,235,4
12,235,4
14.4,230,2
16.8,231,2
19.2,232,2
21.6,225,7
24,224,7
26.4,229,2
28.8,218,2
31.2,214,2
33.6,213,2
36,211,2
38.4,217,2
40.8,216,3
43.2,215,3
45.6,217,5
48,214,5
